Q,b = 0.100,b = 0.150,b = 0.170,b = 0.187,b = 0.200,b = 0.220,b = 0.234
0.005,1.0501,0.42422,0.27056,0.1555,0.06348,0,0
0.0051,1.0526,0.42606,0.27242,0.15751,0.066268,0,0
0.0052,1.0551,0.42781,0.2742,0.15948,0.069005,0,0
0.0053,1.0574,0.42946,0.2759,0.1614,0.07169,0,0
0.0054,1.0597,0.43104,0.27753,0.16328,0.074327,0,0
0.0055,1.062,0.43253,0.2791,0.16512,0.076916,0,0
0.0056,1.0642,0.43397,0.2806,0.16691,0.079458,0,0
0.0057,1.0663,0.43533,0.28205,0.16867,0.081955,0,0
0.0058,1.0684,0.43665,0.28345,0.1704,0.084407,0,0
0.0059,1.0705,0.43791,0.28481,0.17209,0.086816,0.0020188,0
0.006,1.0725,0.43912,0.28612,0.17375,0.089184,0.0045218,0
0.0061,1.0744,0.44029,0.28739,0.17538,0.09151,0.0069804,0
0.0062,1.0763,0.44141,0.28863,0.17698,0.093796,0.0093959,0
0.0063,1.0782,0.4425,0.28982,0.17855,0.096044,0.01177,0
0.0064,1.0801,0.44355,0.29099,0.1801,0.098253,0.014103,0
0.0065,1.0818,0.44457,0.29213,0.18161,0.10042,0.016397,0
0.0066,1.0836,0.44556,0.29324,0.18311,0.10256,0.018652,0
0.0067,1.0853,0.44652,0.29432,0.18457,0.10466,0.02087,0
0.0068,1.087,0.44745,0.29537,0.18602,0.10673,0.023052,0
0.0069,1.0887,0.44836,0.29641,0.18744,0.10876,0.025199,0
0.007,1.0903,0.44924,0.29742,0.18884,0.11076,0.027311,0
0.0071,1.0919,0.4501,0.29841,0.19022,0.11272,0.02939,0
0.0072,1.0934,0.45094,0.29938,0.19157,0.11466,0.031437,0
0.0073,1.095,0.45177,0.30033,0.19291,0.11656,0.033451,0
0.0074,1.0965,0.45257,0.30126,0.19423,0.11844,0.035434,0
0.0075,1.0979,0.45335,0.30217,0.19553,0.12028,0.037387,0
0.0076,1.0994,0.45412,0.30307,0.19681,0.1221,0.03931,0
0.0077,1.1008,0.45487,0.30396,0.19807,0.12388,0.041205,0
0.0078,1.1022,0.45561,0.30482,0.19931,0.12564,0.043071,0
0.0079,1.1036,0.45633,0.30568,0.20054,0.12737,0.044909,0
0.008,1.1049,0.45704,0.30652,0.20175,0.12908,0.046721,0.00037405
0.0081,1.1063,0.45773,0.30735,0.20294,0.13076,0.048506,0.0022901
0.0082,1.1076,0.45842,0.30816,0.20412,0.13242,0.050265,0.0041783
0.0083,1.1089,0.45909,0.30896,0.20528,0.13405,0.051999,0.0060392
0.0084,1.1101,0.45975,0.30975,0.20643,0.13565,0.053709,0.0078733
0.0085,1.1114,0.4604,0.31053,0.20756,0.13723,0.055394,0.0096814
0.0086,1.1126,0.46104,0.3113,0.20867,0.13879,0.057055,0.011464
0.0087,1.1138,0.46166,0.31206,0.20978,0.14033,0.058693,0.013221
0.0088,1.115,0.46228,0.3128,0.21086,0.14184,0.060309,0.014954
0.0089,1.1162,0.46289,0.31354,0.21194,0.14333,0.061902,0.016663
0.009,1.1173,0.46349,0.31427,0.213,0.1448,0.063474,0.018349
0.0091,1.1184,0.46408,0.31499,0.21405,0.14625,0.065024,0.020011
0.0092,1.1196,0.46467,0.3157,0.21508,0.14768,0.066553,0.021651
0.0093,1.1207,0.46524,0.3164,0.2161,0.14909,0.068062,0.023269
0.0094,1.1218,0.46581,0.31709,0.21711,0.15047,0.069551,0.024865
0.0095,1.1228,0.46637,0.31778,0.21811,0.15184,0.07102,0.02644
0.0096,1.1239,0.46692,0.31845,0.2191,0.15319,0.072469,0.027994
0.0097,1.1249,0.46747,0.31912,0.22007,0.15452,0.0739,0.029528
0.0098,1.126,0.46801,0.31978,0.22103,0.15584,0.075312,0.031041
0.0099,1.127,0.46854,0.32044,0.22199,0.15713,0.076706,0.032535
0.01,1.128,0.46907,0.32108,0.22293,0.15841,0.078082,0.03401
