t[s],Q[l/s],H_US_1[m],H_US_2[m],H_US_3[m],H_US_4[m],H_US_5[m],Sed_In[kg/s],Sed_Out[kg/s],v[m/s]
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.6179744453307142,0.6194528323142858,0.44076400859357145,0.6264754499714287,0.6018442252466668,0.0,0.0,0.0
25.0,0.0,0.6181355925110257,0.6198682754948717,0.4411009246553846,0.6267871800615384,0.6024378414928208,0.0,202.98592793809527,0.0
26.0,0.0,0.6186400039884615,0.6188260913230769,0.4405704607238461,0.6263828443384615,0.6022986479364103,0.0,199.39051281282053,0.0
27.0,0.0,0.6180071023594872,0.6197162514999999,0.4410807586653846,0.6266563836923077,0.602113563726154,0.0,202.26630194102566,0.0
28.0,0.0,0.6186692897151282,0.6192473663000001,0.44080922886230767,0.6264830948923078,0.6033486180028207,0.0,201.89759818461542,0.0
29.0,0.0,0.6190117315656412,0.6186191263307692,0.44030208032846146,0.6268097518461538,0.6016991039451282,0.0,197.2567104794872,0.0
30.0,0.0,0.6193595640533333,0.6187473295743587,0.440498010653846,0.6263688939076923,0.601762182146154,0.0,203.99914519999996,0.0
31.0,0.0,0.6195376554894871,0.6198536196333331,0.4412647153730768,0.6266019405230768,0.6026938158369233,0.0,199.86976329999996,0.0
32.0,0.0,0.6187302456671794,0.6197162514999999,0.4409037286984615,0.6262042305846154,0.6018534163271796,0.0,200.1002299794872,0.0
33.0,0.0,0.6187027543453848,0.6200624329589746,0.44143103344153845,0.6267314113230772,0.6021114804361539,0.0,200.37677568461538,0.0
34.0,0.0,0.6180469176825715,0.6200101840285714,0.44125950233485717,0.6268420421942857,0.6015631590631431,0.0,202.45063235384612,0.0
35.0,0.0,0.6193395674930233,0.6198615872395348,0.44113582894534886,0.6269532925023257,0.602885471402093,0.0,201.23988285428578,0.0
36.0,0.0,0.6185909946533333,0.6204086144179487,0.4416030282684614,0.6267911650153847,0.6027125832528206,0.0,197.24564199534885,0.0
37.0,0.0,0.6171757881694873,0.6195541526666668,0.4410360253392308,0.6266338036615385,0.6023090708612822,0.0,198.90664011282047,0.0
38.0,0.0,0.6180662601953845,0.6188004449871796,0.4406095270723078,0.6265401995076922,0.6014884876966666,0.0,200.19244527179487,0.0
39.0,0.0,0.6183937734138458,0.6188508163358974,0.440526989116923,0.6271503654153848,0.6031489410502565,0.0,195.57456845897434,0.0
40.0,0.0,0.6182826075269231,0.618650257951282,0.44030774926230776,0.6273887163692308,0.6022892561348718,0.0,203.08659445897433,0.0
41.0,0.0,0.6186639083561537,0.619961693105128,0.4413308724961538,0.626912659723077,0.604757789675641,0.0,201.9667739641026,0.0
42.0,0.0,0.6192005894310256,0.6188553945153846,0.4405036835,0.6265760434769232,0.6047749853164104,0.0,200.2385099871795,0.0
43.0,0.0,0.6186417928264102,0.6194662459333332,0.44095035362538465,0.6272977612923077,0.6036770574933334,0.0,198.08631897435907,0.0
44.0,0.0,0.6189071439261539,0.6212484032461537,0.44203520720615375,0.6273787591384613,0.6037818451997438,0.0,199.61176368717946,0.0
45.0,0.0,0.6181792186315384,0.6213106750179487,0.44209065243076934,0.6269896891076923,0.6059344470835898,0.0,198.90206083076922,0.0
46.0,0.0,0.6183943783528206,0.6198032568153845,0.4413233021807693,0.6272711942461539,0.6053807824151282,0.0,196.66223380769233,0.0
47.0,0.0,0.6186310430979487,0.6200660983461538,0.4411809293915384,0.6268449464307694,0.6045779242120515,0.0,199.42736172307693,0.0
48.0,0.0,0.6188844383025645,0.6207886573435897,0.44196590654384604,0.6270388196923076,0.6051545277325641,0.0,201.2754311666667,0.0
49.0,0.0,0.6180519198015384,0.6204031120717948,0.4416383075030768,0.6272067979692308,0.6064781971046156,0.0,201.80084654102563,0.0
50.0,0.0,0.6179754210002564,0.6195037870051282,0.44110595783923073,0.6270095973846154,0.6072946136892308,0.0,200.0679746615385,0.0
51.0,0.0,0.6178899650197436,0.6198554622794871,0.441348507223077,0.6270660381846154,0.6061914671194872,0.0,198.76836010512815,0.0
52.0,0.0,0.6182162776384614,0.6208179690666665,0.4417359606592308,0.6271576653230767,0.6045575963520512,0.0,200.96663014358975,0.0
53.0,0.0,0.6170789608207692,0.6192757595435897,0.4409213673376925,0.6270925990461538,0.6044757474976924,0.0,198.8927448538462,0.0
54.0,0.0,0.6189155128671795,0.6196695426948718,0.4412250289238462,0.6267533234153847,0.604113416909487,0.0,200.2615495000001,0.0
55.0,0.0,0.6189752774976922,0.6191420482666665,0.44091318083384606,0.6273289709230769,0.6039173934033332,0.0,197.2659262846154,0.0
56.0,0.0,0.6183059236564102,0.6196091021948715,0.44109273032692303,0.6266537263692309,0.6044152705764103,0.0,200.4504735051282,0.0
57.0,0.0,0.617335354741282,0.619115494825641,0.4407481244846154,0.6267652720923076,0.6043683487992308,0.0,200.6348325384616,0.0
58.0,0.0,0.6174154237958974,0.6196631275564101,0.44095223740153844,0.6271828964923076,0.603018090366154,0.0,198.1646103871795,0.0
59.0,0.0,0.6170765744664104,0.6195440806717948,0.441072566293077,0.6271477039692308,0.6032167151520513,0.0,199.1048085435898,0.0
60.0,0.0,0.6165023943556522,0.6209369904826086,0.4419412104417392,0.6271897815826086,0.6022506388030436,0.0,201.10954667435902,0.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9753943227273,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
